risk_text,category,score,reasoning
"Certain statutory and regulatory licenses and approvals are required for conducting our business and any failure or omission to obtain, maintain or renew these licenses and approvals could adversely affect our business and results of operations. Our operations in India are subject to extensive government regulation and we, along with our subsidiaries and associates, are required to obtain and maintain a number of statutory and regulatory licenses and approvals. These licenses and approvals include, amongst others, licenses to operate as a payments bank and issue prepaid payment instruments issued by the RBI, each obtained by Paytm Payments Bank, registrations to act as a stock broker and an investment advisor issued by SEBI, each obtained by Paytm Money and registration to act as a direct insurance broker issued by IRDAI obtained by Paytm Insurance Broking. For a detailed description of our licenses and approvals, see “Government and Other Approvals” on page 414. While we have obtained the necessary licenses and approvals required for our operations, certain approvals for which we have submitted applications are currently pending. For instance, the applications dated December 15, 2020 and November 5, 2020 made by Paytm Money and Paytm Payments Bank, respectively, to obtain a certificate of registration to act as a corporate agent from the IRDAI are currently pending. In addition, we may apply for additional licenses and approvals, including the renewal of certain approvals which may expire from time to time, such as the registration to act as a direct insurance broker which expires in 2023 held by Paytm Insurance Broking. If we or our Group Company, Paytm Payments Bank as applicable, are unable to obtain, maintain or renew all necessary licenses and approvals required for our continued operations or for continued provision of the services being offered in collaboration with Paytm Payments Bank, this may have consequences, on operations that may be limited or suspended to that extent, which may have an adverse impact on our business and results of operations. Further, our activities, future development and expansion into a variety of new fields could also raise a number of new regulatory issues and licensing requirements. In Fiscal 2021, our Subsidiary, Paytm Entertainment Limited (“Paytm Entertainment”) entered into an exceptional transaction of providing a one-time short term loan to Paytm First Games. Due to this, Paytm Entertainment met the principal business test for determination of identification as a non-banking financial company. Since Paytm Entertainment does not intend to give any further loans to Paytm First Games or other entities, it has requested RBI to grant an exemption from being classified as an NBFC. As of the date of this Draft Red Herring Prospectus, the said loan has been repaid by Paytm First Games to Paytm Entertainment and further, Paytm Entertainment has no loans outstanding to any entity. We cannot assure you that we will be granted an exemption and that Paytm Entertainment will not be required to obtain registration as an NBFC under the applicable laws. Some of the licenses and approvals that have been issued to our Company or our subsidiaries or associates contain certain conditions and restrictions. For instance, the license to operate as a payments bank issued by the RBI requires Paytm Payments Bank to comply with certain terms and conditions, and in the event that it is unable to comply with any or all of these terms and conditions, or seek waivers or extensions of time for complying with these terms and conditions, the RBI may place stringent restrictions on it which may impact our operations to the extent of our offering services in partnership with Paytm Payments Bank. If we or our subsidiaries or associates fail or allegedly fail to satisfy the conditions or comply with the restrictions imposed by the relevant licenses and approvals, or the restrictions imposed by any statutory or regulatory requirements, we or our subsidiaries or associates may become subject to regulatory enforcement or be subject to fines, penalties or additional costs or revocation of these licenses and approvals. This may result in the interruption of all or some of our operations and may have a material adverse effect on our business, financial condition, cash flows and results of operations.",Regulatory,4,"High (Regulatory): Specific and material operational/business dependency, but contingent or forward-looking."
"Our business depends on a strong and trusted brand, and any failure to maintain, protect, and enhance our brand would hurt our business. We have developed a strong and trusted brand that has contributed significantly to the success of our business. We enable participants in commercial and financial activities, including consumers, merchants and financial institutional partners to build and strengthen trust among each other. In the process, we have become a platform that is trusted by consumers, businesses and partners. Maintaining, protecting, enhancing and promoting the trust in us, our platforms and our brand is critical to expanding the base of consumers, merchants and financial institutional partners on our platforms, as well as increasing their engagement with our products and services. Any negative publicity about our industry or us, the quality and reliability of our products and services, our risk management processes, changes to services, our ability to effectively manage and resolve merchant and consumer complaints, our privacy and security practices, litigation, regulatory activity, and the experience of merchants and buyers with our products and services, could adversely affect our reputation and the confidence in and use of our products and services. In the past, we have been involved in disputes, filed oppositions before relevant authorities, entered into a settlement agreement in relation to the use and/or registration of our trademarks in India and certain other jurisdictions and we cannot assure you that we will be able to use and/or register our trademarks in the future and will not be involved in any disputes or proceedings or settlements in this regard. Many factors could undermine or damage the trust in us, our platforms or our brand, including, failure by us or our partners to satisfy expectations of service and quality; inadequate protection of sensitive information; compliance failures and claims; employee misconduct; and misconduct by our partners, service providers, or other counterparties. Under the agreements with our merchants, the merchant is responsible for quality, quantity, timely delivery and price of the services offered by it and is further responsible for related customer support and dispute resolution services. However, instances of unsatisfactory services provided by one or more merchants may damage the trust that our consumers have in our brand and our platforms. We may receive negative reviews from consumers and become subject to legal notice and/or action, which may adversely affect our reputation and the confidence in and use of our products and services. If we do not successfully maintain the trust in us, our business, financial condition, results of operations, cash flows and prospects would be materially and adversely affected.",Legal,3,Moderate (Legal): Real business risk but stated vaguely without specific numbers or metrics.
"External factors may adversely affect our revenue from lending products and our success in relation to lending also depends on our ability to innovate new products. Through our platforms, our financial institution partners are able to extend availability of credit to consumers and merchants, including small businesses to meet their credit needs. Factors including, among others, the slowdown and structural reform of the Indian economy, adverse development in general economic conditions, an increase in unemployment rates among our consumers, health pandemics or epidemics, adverse weather conditions and natural disasters could result in the deterioration of credit profiles and creditworthiness of our consumers and merchants. Some consumers and merchants generally have no or limited credit history, fewer financial resources or borrowing capacity than large entities, and may be more vulnerable to economic downturns. In addition, small businesses frequently have negligible market shares and often need substantial additional capital to expand or compete and may experience substantial volatility in results of operations, any of which may impair a borrower’s ability to service a loan. If general economic conditions negatively impact India or the specific markets in which we operate and consumers or small businesses are adversely affected by adverse business conditions, the credit balance enabled through our platforms may decrease due to lower demand by consumers and small businesses or some existing borrowers’ inability to repay, thereby negatively impacting the collection fees we charge our partner financial institutions that are linked to such business volume. Moreover, an economic downturn could reduce our risk appetite and that of our financial institutions partners and. If any of the forgoing materialized, it would affect their collaboration with us, and as a result, adversely affect our business, financial condition, cash flows and results of operations. Our success also depends on our ability to scale up the insurance distribution business which depends on our ability to leverage customer insights, co create products that identify and anticipate consumer and business needs, with partner insurers and deliver a seamless experience to our customer base. We operate a technology driven insurance distribution platform which incurs substantial upfront costs on building the technology assets which may have a longer gestation period to break even depending upon speed of scaling up. We leverage insights to identify merchant and consumer needs to be addressed by innovative insurance products. However, the complex nature of development and approval of insurance products may constrain our ability to co-design new products with the insurers that can sufficiently address the customer and merchant needs we have identified or are suitable for distribution on our platforms. In addition, changes in insurance regulations may complicate, delay or increase the costs of innovating, marketing and distribution of new insurance products on our platforms which could have an adverse impact on our financial condition, cash flows and results of operations. Online distribution of insurance products is an evolving business model that is sensitive to data protection and data privacy laws. Changes in the regulatory environment may curtail our ability of seamless distribution of the insurance products. Regulatory focus on market conduct, mis-selling, customer identification and prudential aspects may lead to a greater compliance risk and slower growth in volume may result in lower distribution income.",Regulatory,2,Low (Regulatory): Boilerplate standard risk present in nearly every DRHP with low specificity.
"Unfavourable media coverage could harm our brand, business, financial condition, cash flows and results of operations. Unfavorable publicity could adversely affect our reputation. Such negative publicity could also harm the size of our network and the engagement and loyalty of merchants, consumers and other participants that utilize our platform, which could adversely affect our business, cash flows, financial condition, and results of operations. As our platforms continues to scale and public awareness of our brand increases, any future issues that draw media coverage could have an amplified negative effect on our reputation and brand. In addition, negative publicity related to key brands we have partnered or by any influencers may damage our reputation, even if the publicity is not directly related to us. Any negative publicity that we may receive could diminish confidence in, and the use of, our platforms and may result in increased regulation and legislative scrutiny of industry practices as well as increased litigation, which may further increase our costs of doing business and adversely affect our brand. As a result, any impairment or damage to our brand, including as a result of these or other factors, could adversely affect our business, reputation, cash flows, results of operations and financial condition. Many social media platforms publish their subscriber’s or participant’s content, often without filters on accuracy. The dissemination of inaccurate information regarding our business, brand and services online could harm our business, reputation, prospects, financial condition and operating results, regardless of the information’s accuracy. The damage may be immediate without affording us an opportunity for redress or correction.",Legal,3,Moderate (Legal): Real business risk but stated vaguely without specific numbers or metrics.
"Any privacy or data security breach, cyber-attacks or internal misconducts could damage our reputation and brand and substantially harm our business and any actual or perceived failure by us to comply with laws or regulations relating to privacy or the protection or transfer of data relating to individuals or any other contractual obligations relating to privacy or the protection or transfer of data relating to individuals, could adversely affect our business. As a technology-based platform, our business generates and processes a large quantity of personal, transaction, billing, behavioral and demographic data. We face risks inherent in handling and protecting large volumes of data, including protecting the data hosted in our system, detecting and prohibiting unauthorized data share and transfer, preventing attacks on our system by outside parties or fraudulent behavior or improper use by our employees, and maintaining and updating our database. Any system failure, security breach or third-party attacks or attempts to illegally obtain the data that result in any actual or perceived release of consumer data could damage our reputation and brand, deter current and potential consumers from using our products and services, damage our business, and expose us to potential legal liability. The techniques used to obtain unauthorized, improper, or illegal access to our systems, our or our consumers’ data, or to disable or degrade service or sabotage systems, are constantly evolving, may be difficult to detect quickly, and often are not recognized until after they have been launched against a target. We may be unable to anticipate these techniques, react in a timely manner, or implement adequate preventative or remedial measures. Unauthorized parties may attempt to gain access to our systems or facilities through various means, including, among others, hacking into our or our partners’ or consumers’ systems or facilities, or attempting to fraudulently induce our employees, partners, consumers or others into disclosing usernames, passwords, or other sensitive information, which may in turn be used to access our information technology systems and gain access to our or our consumers’ data or other confidential, proprietary, or sensitive information. We are mandated under law to undertake audit of reasonable security practices and procedures for handling of sensitive personal data or information, and in the past the internal auditors have highlighted certain risks, inter alia, pertaining to encryption of customers personal information and retention period of personal information. Our Company has addressed and continues to address such risks based on recommendations in such internal audit reports. There is no assurance that in future similar or other risks will not be highlighted in internal audit reports and may lead to incurring of costs for addressing such risks, diversion of management’s attention and regulatory actions. We are also required to comply with several standards including the Payment Card Industry Data Security Standards and Payment Application Data Security Standards, as applicable to the transactions undertaken on our platforms. Our failure, or the failure by our third party providers or merchant partners on our platforms, to comply with applicable laws or regulations or standards or any other contractual obligations relating to privacy, data protection, or information security, may cause a leak of consumers’ data, adversely affect our reputation and lead to termination of our agreements with the affected merchants. Under our agreements with our merchants, our merchants and we are required to ensure proper encryption and security measures at our respective websites, mobile applications and billing systems to prevent any hacking into information pertaining to transactions. We are also required to protect and keep confidential all information related to the debit cards, net banking facilities or other payment data of consumers who are carrying out transactions with such merchants through our platforms. We cannot assure you that our merchants or we will be able to prevent all attempts of hacking and/or unauthorized disclosures of customer data. Any compromise of security or cyber-attack that results in unauthorized access to, or use or release of personally identifiable information or other data relating to consumers, or other individuals, or the perception that any of the foregoing types of failure or compromise has occurred, could damage our reputation, discourage new and existing consumers from using our platform, or result in fines, investigations, or proceedings by governmental agencies and private claims and litigation, any of which could adversely affect our business, financial condition, cash flows and results of operations. Even if not subject to legal challenges, the perception of privacy concerns, whether or not valid, may harm our reputation and brand and adversely affect our business, its financial condition, and results of operations.",Legal,3,Moderate (Legal): Real business risk but stated vaguely without specific numbers or metrics.
"Regulatory, legislative or self-regulatory/standard developments regarding privacy and data security matters could adversely affect our ability to conduct our business. Numerous domestic and international laws and regulations address privacy and the collection, storing, sharing, use, disclosure, and protection of certain types of data. These laws, rules, and regulations evolve frequently and their scope may continually change, through new legislation, amendments to existing legislation, and changes in enforcement. Additionally, many laws and regulations relating to privacy and the collection, storing, sharing, use, disclosure, and protection of certain types of data are subject to varying degrees of enforcement and new and changing interpretations by courts or regulators. Changes in laws or regulations relating to privacy, data protection, and information security, particularly any new or modified laws or regulations, or changes to the interpretation or enforcement of such laws or regulations, that require enhanced protection of certain types of data or new obligations with regard to data retention, transfer, or disclosure, could greatly increase the cost of providing our platforms, require changes to our operations, or even prevent us from providing our platforms in jurisdictions in which we currently operate and in which we may operate in the future. As part of our operations, we are required to comply with the Information Technology Act, 2000 and the rules thereof, which provides for civil and criminal liability including compensation to persons affected, penalties and imprisonment for various cyber related offenses, including unauthorized disclosure of confidential information and failure to protect sensitive personal data. India has already implemented certain privacy laws, including the Information Technology (Reasonable Security Practices and Procedures and or Information) Rules, 2011, which impose limitations and restrictions on the collection, use, disclosure and transfer of personal information. Additionally, the Government of India, in December 2019, published the Personal Data Protection Bill, 2019, which provides for a framework for protection of personal data and use of non-personal data and seeks to, among others, lay down norms for cross-border transfer of personal data, define the scope of the definition of personal data and non-personal data, establishment of a data protection authority and ensure the accountability of entities processing personal data. For further details, see “Key Regulations and Policies” on page 197. The introduction of new information technology legislation may require us to modify our existing systems, or invest in new technologies to ensure compliance with such applicable laws, which may require us to incur additional expenses and adversely affect our financial condition. Our failure to adhere to or successfully implement processes in response to changing regulatory requirements in this area could result in legal liability or impairment to our reputation in the marketplace, which could have a material adverse effect on our business, financial condition, results of operations and prospects. Several jurisdictions have implemented new data protection regulations and others are considering imposing additional restrictions or regulations. We expect data protections regulations to continue to increase both in number, complexity and in the level of stringency. The entry into force of the General Data Protection Regulation (EU) 2016/679 (“GDPR”), in the European Union prompted various countries to begin processes to reform their data protection regimes. In many cases, these regulations have strict measures regulating both the transfer of data externally, and also the storage and transfer of data internally among our employees in the course of their work and among our subsidiaries and affiliates. Moreover, these regulations may have conflicting and/or inconsistent requirements, and compliance with one data protection regime does not necessarily entail compliance with another data protection regime, and compliance with one data protection regime could potentially create conflicts in compliance with another data protection regime. In particular, we may transfer data across jurisdictions in the ordinary course of our operations, and we may not be able to ensure compliance with all applicable data protection regulations at all times. Any failure to comply with applicable data protection regimes could subject us to significant penalties and negative publicity, which could have a material adverse effect on our business, financial condition, reputation before our merchants and providers, and results of operations.",Legal,3,Moderate (Legal): Real business risk but stated vaguely without specific numbers or metrics.
"Payments banks in India, including our Group Company Paytm Payments Bank, are subject to regulatory requirements and prudential norms and its inability to comply with applicable laws, regulations and norms may have an adverse effect on some of our businesses, financial condition and results of operations. Payments banks in India, including our Group Company, Paytm Payments Bank, are subject to various requirements and restrictions in relation to their functioning, corporate ownership and governance which are prescribed under the applicable acts such as the Banking Regulation Act along with applicable regulations prescribed by the RBI from time to time. These include, but are not limited to, maintaining a minimum net worth of ₹ 1,000 million at all times; ensuring its ownership and control by Indian residents in accordance with the Foreign Exchange Management Act, 1999, read with rules and regulations thereunder (“FEMA”); obtaining prior approval from the RBI for any change in its shareholding by way of fresh issue or transfer of shares, directly or indirectly, to a particular investor, acting alone or in concert with any other person, to the extent of 5% or more of its paid-up share capital or 5% or more of its voting rights; limiting exposure in terms of loans and advances; prudential norms specified in respect of market risk and operational risk, maintenance of regulatory ratios including cash reserve ratio on its outside demand and time liabilities and statutory liquidity ratio; periodic disclosure requirements (including in presentation of financial information and financial statements); fraud classification and reporting; and cyber security compliance. In addition, the Payments Bank Licensing Guidelines, Payments Bank Operating Guidelines and other applicable regulations along with the payments bank license issued by the RBI require Paytm Payments Bank to comply with certain conditions in relation to its operations including but not limited to, restricting the amount of demand deposits, i.e., wallet, current deposits and savings bank deposits which may be maintained by any customer end of day up to Rs. 0.2 million and requiring authorization from RBI for its branches. For details, see “Key Regulations and Policies - Banking and wallet business and related activities” on page 198. In case of any failure to comply with the prescribed conditions, applicable directives, reporting requirements, requirements to meet the prescribed prudential norms or any other ongoing regulations or requirements from RBI or other regulators, the RBI may charge penalties, penalize Paytm Payments Bank’s management, restrict Paytm Payments Bank’s banking activities or otherwise enforce increased scrutiny and control over Paytm Payments Bank’s banking operations, including by way of withholding approvals, or issuing conditional approvals in respect of any proposed actions for which Paytm Payments Bank may seek approval in the future, or even cancel Paytm Payments Bank’s banking license. As a payments bank, Paytm Payments Bank is subject to periodic on-site inspections by the RBI in relation to its compliance with licensing conditions and/ or operating guidelines and matters relating to its banking operations. During such inspections, Paytm Payments Bank may be found to be in violation of the licensing conditions or may subsequently be unable to comply with the observations made by RBI and accordingly it could be subject to penalties and restrictions which may be imposed by the RBI. Imposition of any penalty or adverse findings by the RBI during the ongoing or any future inspections may result in a temporary halt on provision of Paytm Payments Bank’s products and services, resulting in service outages for us, which may have an adverse effect on our business, operations, cash flows and financial condition to that extent. To ensure compliance with the regulatory framework applicable to payments banks, Paytm Payments Bank may need to allocate additional resources, which may increase the regulatory compliance costs and divert management attention. The inability to comply with laws and regulations applicable to a payments bank may have an adverse effect on Paytm Payments Bank’s business, cash flows, financial condition and results of operations which may also have a resultant impact on the services we provide in partnership with Paytm Payments Bank.",Regulatory,4,"High (Regulatory): Specific and material operational/business dependency, but contingent or forward-looking."
"Our Statutory Auditors have included certain emphasis of matters in the auditors’ reports on our audited consolidated financial statements for the last three fiscal years and in the examination report on the Restated Financial Statements. Further, the auditors have included certain observations in their reporting under Companies (Auditors Report) Order, 2016 (“CARO”) The examination report on the Restated Financial Statements and the audit reports on the audited consolidated financial statements for FY 2019, FY 2020 and FY 2021 contain the following emphasis of matters:  In FY 2021, the Statutory Auditors have drawn attention to the fact that one of our Subsidiary’s financial assets as of March 31, 2021 were more than 50% of its total assets and its income from financial assets was more than 50% of the total income for the financial year. As per the press release dated April 8, 1999 issued by RBI, the Subsidiary of the Company fulfils the principal business criteria for being classified as a NBFC as on March 31, 2021 and accordingly is required to obtain registration for the same. However, the Subsidiary has no intention of conducting the business as an NBFC, and accordingly it has filed an application with the RBI seeking dispensation from registration as NBFC. For details, see “ - Certain statutory and regulatory licenses and approvals are required for conducting our business and any failure or omission to obtain, maintain or renew these licenses and approvals could adversely affect our business and results of operations.” above.  In FY 2020 and FY 2021, the Statutory Auditors have drawn attention to the management’s assessment of the impact of the outbreak of Covid-19 on the business operations of the Company and its subsidiaries, as identified in the relevant consolidated financial statements (“Group”). Similar emphasis of matters were included in the auditors’ reports on the audited standalone financial statements of our Subsidiaries, Nearbuy India Private Limited and Wasteland Entertainment Private Limited for FY 2020 and FY 2021.  In FY 2019, FY 2020 and FY 2021, the Statutory Auditors have drawn attention to non- settlement of foreign currency payables as at March 31, 2019, March 31, 2020 and March 31, 2021, respectively, due for more than the time period permitted under the RBI Master Direction on Import of Goods and Services dated January 1, 2016, as amended, issued by RBI. In each FY, as mentioned above, our Company has applied to the Authorized Dealer seeking permission for extension of time period for settlement of the payables. Further, in FY 2021, our Company has approached the Authorized Dealer and RBI for permission to write-back certain payable balances and approval is currently awaited, which are currently awaited.  In FY 2019, FY 2020 and FY 2021, the Statutory Auditors have drawn attention to non-realization of foreign currency receivables as at March 31, 2019, March 31, 2020 and March 31, 2021, respectively, due for more than the time period permitted, under the RBI Master Direction on Exports of Goods and Services dated January 1, 2016, as amended, issued by RBI. In each FY, as mentioned above, our Company and/or the Group has applied to the Authorized Dealer seeking permission for extension of time period for realisation of the receivables and write-off of certain receivables. Further, in FY 2021 our Company has made an application to RBI seeking approval for extension of time limit and write off of receivable balance and approval is currently awaited. Further, the examination report on the Restated Financial Statements contains an emphasis of matter wherein the Statutory Auditors have drawn attention to the application made by our Company under section 454 of the Companies Act, 2013 to adjudicate non-compliance with the provisions of Section 62(1)(b) of the Companies Act, 2013 read with Rule 12(1) of the Companies (Share Capital and Debentures) Rules, 2014 in relation to grants of employee stock options (“ESOPs”) made in earlier years to an employee. Our Company has taken steps in the form of cancellation of ESOP grants and shares allotted in the past have been transferred to the Paytm Associate Benefit Welfare Trust and the Company is awaiting the outcome of the adjudication application. For details, see “-We have filed an adjudication application with the Registrar of Companies for non-compliance with relevant provisions of the Companies Act, 2013 read with the Companies (Share Capital and Debentures) Rules, 2014 in relation to grant of certain ESOPs to one of our employees.” below. Further, our auditors have included certain observations in their reporting under the Company (Auditor's Report) Order, 2016. For details, see “Restated Financial Statements - Annexure VI to Restated Financial Statements” on page 371. There is no assurance that our audit reports for any future fiscal periods will not contain qualifications, matters of emphasis or other observations which affect our results of operations in such future periods. For further details, see, “Restated Financial Statements” and “Management’s Discussion and Analysis of Financial Condition and Results of Operations” on pages 256 and 383, respectively.",Regulatory,4,"High (Regulatory): Specific and material operational/business dependency, but contingent or forward-looking."
"We depend on key management, as well as our experienced and capable employees, and any failure to attract, motivate, and retain our employees could harm our ability to maintain and grow our business. Our future success is significantly dependent upon the continued service of our executives and other key employees, including our Founder. If we lose the services of any member of management or any key personnel, we may not be able to locate a suitable or qualified replacement, which could severely disrupt our business and growth. To maintain and grow our business, we will need to identify, hire, develop, motivate, and retain highly skilled employees. Identifying, recruiting, training, integrating, and retaining qualified individuals requires significant time, expense, and attention. We may need to invest significant amounts of cash and equity to attract and retain new employees and expend significant time and resources to identify, recruit, train, and integrate such employees, and we may never realize returns on these investments. If we are unable to effectively manage our hiring needs or successfully integrate and retain new hires, our efficiency, ability to meet forecasts, and employee morale, productivity, and engagement could suffer, which could adversely affect our business, financial condition, cash flows and results of operations. We face intense competition for highly skilled employees especially as part of our product & technology team. We had an average of 2,550 member engineering, product and technology team in FY 2021. To attract and retain top talent, we have had to offer, and we believe we will need to continue to offer, competitive compensation and benefits packages. Competition for talent in the Indian internet industry is intense, and we may need to offer more attractive compensations and other benefits packages to attract and retain them. In addition, from time to time, there may be changes in our management team that may be disruptive to our business. If our management team, including any new hires that we make, fails to work together effectively and to execute our plans and strategies on a timely basis, our business could be harmed. If we are unable to effectively manage our hiring needs or successfully integrate and retain new hires, our efficiency, ability to meet forecasts, and employee morale, productivity, and engagement could suffer, which could adversely affect our business, financial condition, cash flows and results of operations.",Financial,3,Moderate (Financial): Real business risk but stated vaguely without specific numbers or metrics.
"We rely on our suppliers and partners for our hardware, software and cloud and any impediment in procuring these in a timely manner and at competitive costs, or at all, may have a material adverse effect on our business, operations, financial condition, and cash flows. Our ability to remain competitive and maintain revenues depends, in part, on our ability to source and maintain a stable and sufficient supply of hardware, software and cloud at desired prices. Many of our key hardware devices (including POS systems, scanners and Soundbox), key software services and cloud services come from our limited partners and suppliers located in India and overseas. In addition, there may be cases where we rely only on one manufacturer for a specific model of our POS systems or one partner for our cloud services. Since we depend on external suppliers for all our hardware requirements and some of our software requirements, this subjects us to risks such as currency fluctuations, climatic and environmental conditions, production and transportation costs, changes in domestic as well as international government policies, regulatory or trade sanctions, or our manufacturers experiencing temporary or permanent disruptions in their manufacturing operations due to equipment breakdowns, labour strikes or shortages, natural disasters, component or material shortages, cost increases, insolvency, changes in legal or regulatory requirements, or other similar problems. Given all these possible risks, we could in the future experience product shortages or delays, and the availability of these products may be difficult to predict. Additionally, we are also susceptible to various other potential supply-chain risks, such as strikes or shutdowns at delivery ports, loss of or damage to our products while they are in transit or storage, property theft, losses due to tampering, issues with quality or sourcing control, failure by our suppliers to comply with applicable laws, any intellectual property challenges, potential tariffs or other trade restrictions, security breach risks, or other similar problems could limit or delay the transit or supply of our products or harm our reputation. In the event of a shortage or supply interruption from manufacturers or suppliers of these components, we may not be able to develop alternate sources swiftly and cost-effectively, or at all.",Legal,3,Moderate (Legal): Real business risk but stated vaguely without specific numbers or metrics.
"The success and growth of our business depends upon our ability to innovate and develop new products and services. We are expanding and may in the future continue to expand into new industry verticals and geographic regions and our failure to mitigate specific regulatory, credit, and other risks associated with a new industry vertical or geographic region could have an adverse effect on our business. We are India’s leading, digital ecosystem for consumers and merchants, according to RedSeer, currently offering payment services, commerce and cloud services and financial services. We operate in an industry experiencing rapid technological change and frequent service introductions. We may not be able to make technological improvements as quickly as demanded by our consumers and merchants, which could harm our ability to retain or attract consumers and merchants. In addition, we may not be able to effectively implement new technology- driven services as quickly as competitors or be successful in marketing these products and services to consumers and merchants. If we are unable to successfully and timely innovate and continue to deliver a superior merchant and consumer experience, the demand for our products and services may decrease and our growth, business, results of operations, financial condition, cash flows and prospects could be materially and adversely affected. Our failure to accurately predict the demand or growth of our new products and services also could have a material and adverse effect on our business, results of operations, financial condition, and prospects. For example, through our participation in Foster Payment Networks Limited (“FNPL”), a consortium entity along with other participant companies, we intend to explore new service offerings such as operating new payment systems in the retail space such as ATMs and Aadhaar based payments under the recently published Framework for Authorization of Pan- India Umbrella Entity for Retail Payments, 2020. Accordingly, FNPL has submitted an application in March, 2021 to the RBI for authorization to set up an umbrella entity offering such new services. FNPL may not be successful in obtaining such authorization, we may require a long gestation period to develop the required infrastructure and technology, there may not be sufficient acceptance or demand of the proposed services or our competitors may be successful in obtaining such authorization. We are exploring and will continue to explore new business initiatives, including in industries, geographies and markets in which we have limited or no experience, as well as new business models that may be untested or even create new markets. For example, many of our financial products and services were launched in 2020 and as a result we have limited operating history for these products and services. We have limited financial data that can be used to evaluate our financial services business, and such data may not be indicative of future performance. These service offerings may present new and difficult technology, operational, and other challenges, and if we experience service disruptions, failures, or other issues, our business may be materially and adversely affected. Our newer activities may not recoup our investments in a timely manner or at all. If any of this were to occur, it could damage our reputation, and limit our growth, business and prospects. We may not be able to successfully develop new products and services for these new industries, and our merchants and financial institutional partners may not want to be associated with us if we expand into certain verticals (whether as a result of actual or perceived increases in risk or reputational concerns or otherwise), which may result in the loss of such relationships. Developing new business initiatives and models or new markets requires significant investments of time and resources, and may present new and difficult technological, operational and compliance challenges. Additionally, industry participants, may not be receptive to our products and services in these new industries, which may cause them to eventually reduce their volume routed through us or even stop working with us. The merchant profile or regulatory cost of compliance in new verticals may not be as attractive as in our current verticals, which may lead to higher costs and/or lower GMV levels than we have historically experienced. If we expand into new verticals or geographic regions, we will need to understand and comply with various new requirements applicable in those verticals or regions. Industries change rapidly, and we may not be able to accurately forecast demand (or the lack thereof) for our solution or those industries may not grow. Failure to forecast demand or growth accurately in new industries, or eventual reputational damages from engaging in certain verticals, could have a material adverse impact on our business.",Regulatory,3,Moderate (Regulatory): Real business risk but stated vaguely without specific numbers or metrics.
"Our international operations involve risks that could increase our expenses, adversely affect our results of operations and require increased time and attention from our management. We have operations in a number of jurisdictions, including in Canada, Singapore, UAE, Malaysia, Tanzania, Uganda and Bangladesh, among others. We may be subject to risks inherently associated with international operations. Our global operations expose us to legal, tax and regulatory requirements and violations or unfavorable interpretation by the respective authorities of these regulations could harm our business. This might include difficulties in managing, growing, and staffing international operations, including in countries in which foreign personnel are, or may become, part of labor unions, personnel representative bodies or collective agreements, and challenges relating to work stoppages or slowdowns. Additional risks associated with international operations include difficulties in enforcing contractual rights, foreign currency risks, the burdens of complying with a wide variety of foreign laws and potentially adverse tax consequences, including permanent establishment and transfer pricing issues, tariffs, quotas and other barriers and potential difficulties in collecting accounts receivable. In addition, we may face competition in other countries from companies that may have more experience with operations in such countries or with international operations. Our international expansion plans may not be successful and we may not be able to compete effectively in other countries. These factors could impede the success of our international expansion plans and limit our ability to compete effectively in other countries.",Market,3,Moderate (Market): Real business risk but stated vaguely without specific numbers or metrics.
